,time,cell_count,egf_count,active_egfr,inactive_egfr,egfr,egf,diss_const,k1,sim
0,72000,1,390,3,6,9.0,0.8,0.01,0.8,1.0
1,144000,0,402,0,0,9.0,0.8,0.01,0.8,1.0
2,216000,0,405,0,0,9.0,0.8,0.01,0.8,1.0
3,288000,0,411,0,0,9.0,0.8,0.01,0.8,1.0
4,360000,0,406,0,0,9.0,0.8,0.01,0.8,1.0
5,432000,0,404,0,0,9.0,0.8,0.01,0.8,1.0
6,504000,0,423,0,0,9.0,0.8,0.01,0.8,1.0
7,576000,0,413,0,0,9.0,0.8,0.01,0.8,1.0
8,648000,0,415,0,0,9.0,0.8,0.01,0.8,1.0
9,720000,0,403,0,0,9.0,0.8,0.01,0.8,1.0
10,792000,0,408,0,0,9.0,0.8,0.01,0.8,1.0
11,864000,0,388,0,0,9.0,0.8,0.01,0.8,1.0
12,936000,0,392,0,0,9.0,0.8,0.01,0.8,1.0
13,1008000,0,406,0,0,9.0,0.8,0.01,0.8,1.0
14,1080000,0,386,0,0,9.0,0.8,0.01,0.8,1.0
15,72000,1,375,0,9,9.0,0.8,0.01,0.8,2.0
16,144000,0,390,0,0,9.0,0.8,0.01,0.8,2.0
17,216000,0,390,0,0,9.0,0.8,0.01,0.8,2.0
18,288000,0,388,0,0,9.0,0.8,0.01,0.8,2.0
19,360000,0,414,0,0,9.0,0.8,0.01,0.8,2.0
20,432000,0,395,0,0,9.0,0.8,0.01,0.8,2.0
21,504000,0,374,0,0,9.0,0.8,0.01,0.8,2.0
22,576000,0,408,0,0,9.0,0.8,0.01,0.8,2.0
23,648000,0,415,0,0,9.0,0.8,0.01,0.8,2.0
24,720000,0,406,0,0,9.0,0.8,0.01,0.8,2.0
25,792000,0,419,0,0,9.0,0.8,0.01,0.8,2.0
26,864000,0,401,0,0,9.0,0.8,0.01,0.8,2.0
27,936000,0,406,0,0,9.0,0.8,0.01,0.8,2.0
28,1008000,0,398,0,0,9.0,0.8,0.01,0.8,2.0
29,1080000,0,406,0,0,9.0,0.8,0.01,0.8,2.0
30,72000,1,369,3,6,9.0,0.8,0.01,0.8,3.0
31,144000,0,386,0,0,9.0,0.8,0.01,0.8,3.0
32,216000,0,378,0,0,9.0,0.8,0.01,0.8,3.0
33,288000,0,388,0,0,9.0,0.8,0.01,0.8,3.0
34,360000,0,391,0,0,9.0,0.8,0.01,0.8,3.0
35,432000,0,401,0,0,9.0,0.8,0.01,0.8,3.0
36,504000,0,397,0,0,9.0,0.8,0.01,0.8,3.0
37,576000,0,417,0,0,9.0,0.8,0.01,0.8,3.0
38,648000,0,398,0,0,9.0,0.8,0.01,0.8,3.0
39,720000,0,391,0,0,9.0,0.8,0.01,0.8,3.0
40,792000,0,382,0,0,9.0,0.8,0.01,0.8,3.0
41,864000,0,388,0,0,9.0,0.8,0.01,0.8,3.0
42,936000,0,405,0,0,9.0,0.8,0.01,0.8,3.0
43,1008000,0,396,0,0,9.0,0.8,0.01,0.8,3.0
44,1080000,0,390,0,0,9.0,0.8,0.01,0.8,3.0
