,time,cell_count,egf_count,active_egfr,inactive_egfr,egfr,egf,diss_const,k1,sim
72,936000,0,187,0,0,6.0,0.4,0.001388888888888889,0.8,5.0
73,1008000,0,203,0,0,6.0,0.4,0.001388888888888889,0.8,5.0
74,1080000,0,188,0,0,6.0,0.4,0.001388888888888889,0.8,5.0
75,72000,1,200,0,6,6.0,0.4,0.001388888888888889,0.8,6.0
76,144000,1,183,1,5,6.0,0.4,0.001388888888888889,0.8,6.0
77,216000,3,179,1,17,6.0,0.4,0.001388888888888889,0.8,6.0
78,288000,3,185,0,18,6.0,0.4,0.001388888888888889,0.8,6.0
79,360000,1,195,1,5,6.0,0.4,0.001388888888888889,0.8,6.0
80,432000,0,196,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
81,504000,0,200,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
82,576000,0,190,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
83,648000,0,187,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
84,720000,0,198,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
85,792000,0,191,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
86,864000,0,193,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
87,936000,0,194,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
88,1008000,0,183,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
89,1080000,0,199,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
90,72000,1,207,1,5,6.0,0.4,0.001388888888888889,0.8,7.0
91,144000,3,189,1,17,6.0,0.4,0.001388888888888889,0.8,7.0
92,216000,5,189,1,29,6.0,0.4,0.001388888888888889,0.8,7.0
93,288000,4,175,3,21,6.0,0.4,0.001388888888888889,0.8,7.0
94,360000,6,179,5,31,6.0,0.4,0.001388888888888889,0.8,7.0
95,432000,10,193,10,50,6.0,0.4,0.001388888888888889,0.8,7.0
96,504000,8,175,13,35,6.0,0.4,0.001388888888888889,0.8,7.0
97,576000,12,171,10,62,6.0,0.4,0.001388888888888889,0.8,7.0
98,648000,16,167,12,84,6.0,0.4,0.001388888888888889,0.8,7.0
99,720000,16,162,11,85,6.0,0.4,0.001388888888888889,0.8,7.0
100,792000,18,156,13,95,6.0,0.4,0.001388888888888889,0.8,7.0
101,864000,11,161,7,59,6.0,0.4,0.001388888888888889,0.8,7.0
102,936000,10,160,11,49,6.0,0.4,0.001388888888888889,0.8,7.0
103,1008000,8,178,6,42,6.0,0.4,0.001388888888888889,0.8,7.0
104,1080000,10,169,7,53,6.0,0.4,0.001388888888888889,0.8,7.0
105,72000,1,196,2,4,6.0,0.4,0.001388888888888889,0.8,8.0
106,144000,2,186,2,10,6.0,0.4,0.001388888888888889,0.8,8.0
107,216000,2,192,6,6,6.0,0.4,0.001388888888888889,0.8,8.0
108,288000,4,196,7,17,6.0,0.4,0.001388888888888889,0.8,8.0
109,360000,8,196,9,39,6.0,0.4,0.001388888888888889,0.8,8.0
110,432000,8,169,7,41,6.0,0.4,0.001388888888888889,0.8,8.0
111,504000,6,178,10,26,6.0,0.4,0.001388888888888889,0.8,8.0
112,576000,10,188,14,46,6.0,0.4,0.001388888888888889,0.8,8.0
113,648000,18,179,8,100,6.0,0.4,0.001388888888888889,0.8,8.0
114,720000,14,165,9,75,6.0,0.4,0.001388888888888889,0.8,8.0
115,792000,16,161,9,87,6.0,0.4,0.001388888888888889,0.8,8.0
116,864000,14,157,8,76,6.0,0.4,0.001388888888888889,0.8,8.0
117,936000,11,165,6,60,6.0,0.4,0.001388888888888889,0.8,8.0
118,1008000,13,182,14,64,6.0,0.4,0.001388888888888889,0.8,8.0
119,1080000,16,183,13,83,6.0,0.4,0.001388888888888889,0.8,8.0
120,72000,1,192,1,5,6.0,0.4,0.001388888888888889,0.8,9.0
121,144000,2,195,3,9,6.0,0.4,0.001388888888888889,0.8,9.0
122,216000,2,190,3,9,6.0,0.4,0.001388888888888889,0.8,9.0
123,288000,2,188,2,10,6.0,0.4,0.001388888888888889,0.8,9.0
124,360000,0,178,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
125,432000,0,200,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
126,504000,0,191,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
127,576000,0,200,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
128,648000,0,190,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
129,720000,0,189,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
130,792000,0,180,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
131,864000,0,186,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
132,936000,0,194,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
133,1008000,0,201,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
134,1080000,0,201,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
135,72000,1,193,1,5,6.0,0.4,0.001388888888888889,0.8,10.0
136,144000,2,191,1,11,6.0,0.4,0.001388888888888889,0.8,10.0
137,216000,3,196,1,17,6.0,0.4,0.001388888888888889,0.8,10.0
138,288000,2,192,2,10,6.0,0.4,0.001388888888888889,0.8,10.0
139,360000,2,193,3,9,6.0,0.4,0.001388888888888889,0.8,10.0
140,432000,4,206,10,14,6.0,0.4,0.001388888888888889,0.8,10.0
141,504000,6,193,4,32,6.0,0.4,0.001388888888888889,0.8,10.0
142,576000,6,168,0,36,6.0,0.4,0.001388888888888889,0.8,10.0
143,648000,4,180,3,21,6.0,0.4,0.001388888888888889,0.8,10.0
144,720000,2,198,1,11,6.0,0.4,0.001388888888888889,0.8,10.0
145,792000,4,191,0,24,6.0,0.4,0.001388888888888889,0.8,10.0
146,864000,4,189,0,24,6.0,0.4,0.001388888888888889,0.8,10.0
147,936000,2,172,1,11,6.0,0.4,0.001388888888888889,0.8,10.0
148,1008000,0,179,0,0,6.0,0.4,0.001388888888888889,0.8,10.0
149,1080000,0,201,0,0,6.0,0.4,0.001388888888888889,0.8,10.0
150,72000,1,184,2,4,6.0,0.4,0.001388888888888889,0.8,11.0
151,144000,2,196,2,10,6.0,0.4,0.001388888888888889,0.8,11.0
152,216000,1,193,0,6,6.0,0.4,0.001388888888888889,0.8,11.0
153,288000,2,182,1,11,6.0,0.4,0.001388888888888889,0.8,11.0
154,360000,2,175,1,11,6.0,0.4,0.001388888888888889,0.8,11.0
155,432000,2,199,3,9,6.0,0.4,0.001388888888888889,0.8,11.0
156,504000,4,185,5,19,6.0,0.4,0.001388888888888889,0.8,11.0
157,576000,4,197,2,22,6.0,0.4,0.001388888888888889,0.8,11.0
158,648000,4,195,2,22,6.0,0.4,0.001388888888888889,0.8,11.0
159,720000,4,205,1,23,6.0,0.4,0.001388888888888889,0.8,11.0
160,792000,0,181,0,0,6.0,0.4,0.001388888888888889,0.8,11.0
161,864000,0,189,0,0,6.0,0.4,0.001388888888888889,0.8,11.0
162,936000,0,194,0,0,6.0,0.4,0.001388888888888889,0.8,11.0
163,1008000,0,210,0,0,6.0,0.4,0.001388888888888889,0.8,11.0
164,1080000,0,196,0,0,6.0,0.4,0.001388888888888889,0.8,11.0
165,72000,1,200,1,5,6.0,0.4,0.001388888888888889,0.8,12.0
166,144000,2,189,4,8,6.0,0.4,0.001388888888888889,0.8,12.0
167,216000,5,172,3,27,6.0,0.4,0.001388888888888889,0.8,12.0
168,288000,2,175,3,9,6.0,0.4,0.001388888888888889,0.8,12.0
169,360000,2,166,1,11,6.0,0.4,0.001388888888888889,0.8,12.0
170,432000,2,172,5,7,6.0,0.4,0.001388888888888889,0.8,12.0
171,504000,2,187,3,9,6.0,0.4,0.001388888888888889,0.8,12.0
172,576000,4,201,2,22,6.0,0.4,0.001388888888888889,0.8,12.0
173,648000,4,187,2,22,6.0,0.4,0.001388888888888889,0.8,12.0
174,720000,2,173,3,9,6.0,0.4,0.001388888888888889,0.8,12.0
175,792000,4,168,5,19,6.0,0.4,0.001388888888888889,0.8,12.0
176,864000,4,182,3,21,6.0,0.4,0.001388888888888889,0.8,12.0
177,936000,2,188,4,8,6.0,0.4,0.001388888888888889,0.8,12.0
178,1008000,4,207,2,22,6.0,0.4,0.001388888888888889,0.8,12.0
179,1080000,6,194,8,28,6.0,0.4,0.001388888888888889,0.8,12.0
180,72000,1,207,1,5,6.0,0.4,0.001388888888888889,0.8,13.0
181,144000,2,208,1,11,6.0,0.4,0.001388888888888889,0.8,13.0
182,216000,3,181,3,15,6.0,0.4,0.001388888888888889,0.8,13.0
183,288000,4,198,0,24,6.0,0.4,0.001388888888888889,0.8,13.0
184,360000,3,204,1,17,6.0,0.4,0.001388888888888889,0.8,13.0
185,432000,2,217,1,11,6.0,0.4,0.001388888888888889,0.8,13.0
186,504000,0,211,0,0,6.0,0.4,0.001388888888888889,0.8,13.0
187,576000,0,200,0,0,6.0,0.4,0.001388888888888889,0.8,13.0
188,648000,0,197,0,0,6.0,0.4,0.001388888888888889,0.8,13.0
189,720000,0,206,0,0,6.0,0.4,0.001388888888888889,0.8,13.0
190,792000,0,215,0,0,6.0,0.4,0.001388888888888889,0.8,13.0
191,864000,0,205,0,0,6.0,0.4,0.001388888888888889,0.8,13.0
192,936000,0,195,0,0,6.0,0.4,0.001388888888888889,0.8,13.0
193,1008000,0,186,0,0,6.0,0.4,0.001388888888888889,0.8,13.0
194,1080000,0,199,0,0,6.0,0.4,0.001388888888888889,0.8,13.0
195,72000,1,196,1,5,6.0,0.4,0.001388888888888889,0.8,14.0
196,144000,2,212,1,11,6.0,0.4,0.001388888888888889,0.8,14.0
197,216000,3,179,3,15,6.0,0.4,0.001388888888888889,0.8,14.0
198,288000,3,180,3,15,6.0,0.4,0.001388888888888889,0.8,14.0
199,360000,2,179,4,8,6.0,0.4,0.001388888888888889,0.8,14.0
200,432000,2,171,3,9,6.0,0.4,0.001388888888888889,0.8,14.0
201,504000,2,180,2,10,6.0,0.4,0.001388888888888889,0.8,14.0
202,576000,4,200,3,21,6.0,0.4,0.001388888888888889,0.8,14.0
203,648000,2,187,2,10,6.0,0.4,0.001388888888888889,0.8,14.0
204,720000,4,195,1,23,6.0,0.4,0.001388888888888889,0.8,14.0
205,792000,2,180,1,11,6.0,0.4,0.001388888888888889,0.8,14.0
206,864000,2,185,0,12,6.0,0.4,0.001388888888888889,0.8,14.0
207,936000,2,200,2,10,6.0,0.4,0.001388888888888889,0.8,14.0
208,1008000,2,204,1,11,6.0,0.4,0.001388888888888889,0.8,14.0
209,1080000,4,179,5,19,6.0,0.4,0.001388888888888889,0.8,14.0
210,72000,1,208,0,6,6.0,0.4,0.001388888888888889,0.8,15.0
211,144000,0,211,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
212,216000,0,211,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
213,288000,0,204,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
214,360000,0,205,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
215,432000,0,197,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
216,504000,0,188,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
217,576000,0,189,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
218,648000,0,189,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
219,720000,0,220,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
220,792000,0,201,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
221,864000,0,196,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
222,936000,0,197,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
223,1008000,0,207,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
224,1080000,0,197,0,0,6.0,0.4,0.001388888888888889,0.8,15.0
225,72000,1,206,2,4,6.0,0.4,0.001388888888888889,0.8,16.0
226,144000,3,214,2,16,6.0,0.4,0.001388888888888889,0.8,16.0
227,216000,4,191,4,20,6.0,0.4,0.001388888888888889,0.8,16.0
228,288000,7,183,5,37,6.0,0.4,0.001388888888888889,0.8,16.0
229,360000,4,177,3,21,6.0,0.4,0.001388888888888889,0.8,16.0
230,432000,8,174,1,47,6.0,0.4,0.001388888888888889,0.8,16.0
231,504000,7,180,5,37,6.0,0.4,0.001388888888888889,0.8,16.0
232,576000,7,194,2,40,6.0,0.4,0.001388888888888889,0.8,16.0
233,648000,9,178,7,47,6.0,0.4,0.001388888888888889,0.8,16.0
234,720000,10,185,3,57,6.0,0.4,0.001388888888888889,0.8,16.0
235,792000,12,168,11,61,6.0,0.4,0.001388888888888889,0.8,16.0
236,864000,10,164,8,52,6.0,0.4,0.001388888888888889,0.8,16.0
237,936000,6,167,7,29,6.0,0.4,0.001388888888888889,0.8,16.0
238,1008000,6,174,7,29,6.0,0.4,0.001388888888888889,0.8,16.0
239,1080000,8,185,4,44,6.0,0.4,0.001388888888888889,0.8,16.0
240,72000,1,197,3,3,6.0,0.4,0.001388888888888889,0.8,17.0
241,144000,2,198,3,9,6.0,0.4,0.001388888888888889,0.8,17.0
242,216000,2,205,2,10,6.0,0.4,0.001388888888888889,0.8,17.0
243,288000,4,178,5,19,6.0,0.4,0.001388888888888889,0.8,17.0
244,360000,8,175,5,43,6.0,0.4,0.001388888888888889,0.8,17.0
245,432000,6,179,7,29,6.0,0.4,0.001388888888888889,0.8,17.0
246,504000,8,182,6,42,6.0,0.4,0.001388888888888889,0.8,17.0
247,576000,8,199,5,43,6.0,0.4,0.001388888888888889,0.8,17.0
248,648000,12,170,8,64,6.0,0.4,0.001388888888888889,0.8,17.0
249,720000,12,155,12,60,6.0,0.4,0.001388888888888889,0.8,17.0
250,792000,17,145,15,87,6.0,0.4,0.001388888888888889,0.8,17.0
251,864000,20,155,17,103,6.0,0.4,0.001388888888888889,0.8,17.0
252,936000,21,166,9,117,6.0,0.4,0.001388888888888889,0.8,17.0
253,1008000,16,167,14,82,6.0,0.4,0.001388888888888889,0.8,17.0
254,1080000,19,157,10,104,6.0,0.4,0.001388888888888889,0.8,17.0
255,72000,1,191,3,3,6.0,0.4,0.001388888888888889,0.8,18.0
256,144000,2,205,4,8,6.0,0.4,0.001388888888888889,0.8,18.0
257,216000,4,204,4,20,6.0,0.4,0.001388888888888889,0.8,18.0
258,288000,4,194,6,18,6.0,0.4,0.001388888888888889,0.8,18.0
259,360000,6,181,9,27,6.0,0.4,0.001388888888888889,0.8,18.0
260,432000,8,180,8,40,6.0,0.4,0.001388888888888889,0.8,18.0
261,504000,10,204,6,54,6.0,0.4,0.001388888888888889,0.8,18.0
262,576000,14,176,12,72,6.0,0.4,0.001388888888888889,0.8,18.0
263,648000,18,163,9,99,6.0,0.4,0.001388888888888889,0.8,18.0
264,720000,20,146,16,104,6.0,0.4,0.001388888888888889,0.8,18.0
265,792000,25,148,11,139,6.0,0.4,0.001388888888888889,0.8,18.0
266,864000,19,147,12,102,6.0,0.4,0.001388888888888889,0.8,18.0
267,936000,20,149,9,111,6.0,0.4,0.001388888888888889,0.8,18.0
268,1008000,24,176,12,132,6.0,0.4,0.001388888888888889,0.8,18.0
269,1080000,22,171,16,116,6.0,0.4,0.001388888888888889,0.8,18.0
270,72000,1,179,1,5,6.0,0.4,0.001388888888888889,0.8,19.0
271,144000,0,191,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
272,216000,0,185,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
273,288000,0,183,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
274,360000,0,196,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
275,432000,0,193,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
276,504000,0,200,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
277,576000,0,198,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
278,648000,0,179,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
279,720000,0,191,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
280,792000,0,200,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
281,864000,0,190,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
282,936000,0,199,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
283,1008000,0,183,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
284,1080000,0,193,0,0,6.0,0.4,0.001388888888888889,0.8,19.0
285,72000,1,196,0,6,6.0,0.4,0.001388888888888889,0.8,20.0
286,144000,2,192,5,7,6.0,0.4,0.001388888888888889,0.8,20.0
287,216000,2,208,3,9,6.0,0.4,0.001388888888888889,0.8,20.0
288,288000,4,209,3,21,6.0,0.4,0.001388888888888889,0.8,20.0
289,360000,4,190,2,22,6.0,0.4,0.001388888888888889,0.8,20.0
290,432000,4,171,3,21,6.0,0.4,0.001388888888888889,0.8,20.0
291,504000,4,174,1,23,6.0,0.4,0.001388888888888889,0.8,20.0
292,576000,2,186,0,12,6.0,0.4,0.001388888888888889,0.8,20.0
293,648000,2,181,3,9,6.0,0.4,0.001388888888888889,0.8,20.0
294,720000,4,175,2,22,6.0,0.4,0.001388888888888889,0.8,20.0
295,792000,6,180,1,35,6.0,0.4,0.001388888888888889,0.8,20.0
296,864000,5,180,3,27,6.0,0.4,0.001388888888888889,0.8,20.0
297,936000,8,185,5,43,6.0,0.4,0.001388888888888889,0.8,20.0
298,1008000,8,164,2,46,6.0,0.4,0.001388888888888889,0.8,20.0
299,1080000,8,179,3,45,6.0,0.4,0.001388888888888889,0.8,20.0
300,72000,1,53,0,6,6.0,0.1,0.01,0.8,1.0
301,144000,0,47,0,0,6.0,0.1,0.01,0.8,1.0
302,216000,0,61,0,0,6.0,0.1,0.01,0.8,1.0
303,288000,0,49,0,0,6.0,0.1,0.01,0.8,1.0
304,360000,0,47,0,0,6.0,0.1,0.01,0.8,1.0
305,432000,0,44,0,0,6.0,0.1,0.01,0.8,1.0
306,504000,0,47,0,0,6.0,0.1,0.01,0.8,1.0
307,576000,0,52,0,0,6.0,0.1,0.01,0.8,1.0
308,648000,0,47,0,0,6.0,0.1,0.01,0.8,1.0
309,720000,0,47,0,0,6.0,0.1,0.01,0.8,1.0
310,792000,0,44,0,0,6.0,0.1,0.01,0.8,1.0
311,864000,0,42,0,0,6.0,0.1,0.01,0.8,1.0
312,936000,0,44,0,0,6.0,0.1,0.01,0.8,1.0
313,1008000,0,55,0,0,6.0,0.1,0.01,0.8,1.0
314,1080000,0,55,0,0,6.0,0.1,0.01,0.8,1.0
315,72000,1,46,0,6,6.0,0.1,0.01,0.8,2.0
316,144000,0,52,0,0,6.0,0.1,0.01,0.8,2.0
317,216000,0,52,0,0,6.0,0.1,0.01,0.8,2.0
318,288000,0,51,0,0,6.0,0.1,0.01,0.8,2.0
319,360000,0,56,0,0,6.0,0.1,0.01,0.8,2.0
320,432000,0,60,0,0,6.0,0.1,0.01,0.8,2.0
321,504000,0,51,0,0,6.0,0.1,0.01,0.8,2.0
322,576000,0,50,0,0,6.0,0.1,0.01,0.8,2.0
323,648000,0,43,0,0,6.0,0.1,0.01,0.8,2.0
324,720000,0,48,0,0,6.0,0.1,0.01,0.8,2.0
325,792000,0,51,0,0,6.0,0.1,0.01,0.8,2.0
326,864000,0,45,0,0,6.0,0.1,0.01,0.8,2.0
327,936000,0,49,0,0,6.0,0.1,0.01,0.8,2.0
328,1008000,0,50,0,0,6.0,0.1,0.01,0.8,2.0
329,1080000,0,50,0,0,6.0,0.1,0.01,0.8,2.0
330,72000,1,44,0,6,6.0,0.1,0.01,0.8,3.0
331,144000,0,47,0,0,6.0,0.1,0.01,0.8,3.0
332,216000,0,43,0,0,6.0,0.1,0.01,0.8,3.0
333,288000,0,47,0,0,6.0,0.1,0.01,0.8,3.0
334,360000,0,51,0,0,6.0,0.1,0.01,0.8,3.0
335,432000,0,57,0,0,6.0,0.1,0.01,0.8,3.0
336,504000,0,51,0,0,6.0,0.1,0.01,0.8,3.0
337,576000,0,44,0,0,6.0,0.1,0.01,0.8,3.0
338,648000,0,50,0,0,6.0,0.1,0.01,0.8,3.0
339,720000,0,53,0,0,6.0,0.1,0.01,0.8,3.0
340,792000,0,48,0,0,6.0,0.1,0.01,0.8,3.0
341,864000,0,47,0,0,6.0,0.1,0.01,0.8,3.0
342,936000,0,46,0,0,6.0,0.1,0.01,0.8,3.0
343,1008000,0,53,0,0,6.0,0.1,0.01,0.8,3.0
344,1080000,0,53,0,0,6.0,0.1,0.01,0.8,3.0
345,72000,1,45,0,6,6.0,0.1,0.01,0.8,4.0
346,144000,0,53,0,0,6.0,0.1,0.01,0.8,4.0
347,216000,0,50,0,0,6.0,0.1,0.01,0.8,4.0
348,288000,0,47,0,0,6.0,0.1,0.01,0.8,4.0
349,360000,0,44,0,0,6.0,0.1,0.01,0.8,4.0
350,432000,0,43,0,0,6.0,0.1,0.01,0.8,4.0
351,504000,0,39,0,0,6.0,0.1,0.01,0.8,4.0
352,576000,0,32,0,0,6.0,0.1,0.01,0.8,4.0
353,648000,0,44,0,0,6.0,0.1,0.01,0.8,4.0
354,720000,0,52,0,0,6.0,0.1,0.01,0.8,4.0
355,792000,0,51,0,0,6.0,0.1,0.01,0.8,4.0
356,864000,0,49,0,0,6.0,0.1,0.01,0.8,4.0
357,936000,0,45,0,0,6.0,0.1,0.01,0.8,4.0
358,1008000,0,45,0,0,6.0,0.1,0.01,0.8,4.0
359,1080000,0,47,0,0,6.0,0.1,0.01,0.8,4.0
360,72000,1,48,0,6,6.0,0.1,0.01,0.8,5.0
361,144000,0,47,0,0,6.0,0.1,0.01,0.8,5.0
362,216000,0,48,0,0,6.0,0.1,0.01,0.8,5.0
363,288000,0,45,0,0,6.0,0.1,0.01,0.8,5.0
364,360000,0,43,0,0,6.0,0.1,0.01,0.8,5.0
365,432000,0,41,0,0,6.0,0.1,0.01,0.8,5.0
366,504000,0,45,0,0,6.0,0.1,0.01,0.8,5.0
367,576000,0,45,0,0,6.0,0.1,0.01,0.8,5.0
368,648000,0,48,0,0,6.0,0.1,0.01,0.8,5.0
369,720000,0,54,0,0,6.0,0.1,0.01,0.8,5.0
370,792000,0,47,0,0,6.0,0.1,0.01,0.8,5.0
371,864000,0,40,0,0,6.0,0.1,0.01,0.8,5.0
372,936000,0,42,0,0,6.0,0.1,0.01,0.8,5.0
373,1008000,0,47,0,0,6.0,0.1,0.01,0.8,5.0
